_id,id,name,headshot,birthDate,tradeMarks[0],tradeMarks[1],tradeMarks[2],tradeMarks[3],tradeMarks[4],tradeMarks[5],tradeMarks[6],tradeMarks[7],tradeMarks[8],actedInMovies[0].movieId,actedInMovies[1].movieId,actedInMovies[2].movieId,actedInMovies[3].movieId,actedInMovies[4].movieId,actedInMovies[0].title,actedInMovies[1].title,actedInMovies[2].title,actedInMovies[3].title,actedInMovies[4].title
67f49ca467b22e22d65ccf4d,166,Bruce Willis,"https://m.media-amazon.com/images/M/MV5BMjA0MjMzMTE5OF5BMl5BanBnXkFtZTcwMzQ2ODE3Mw@@._V1_UY98_CR8,0,67,98_AL_.jpg",1955-03-19,"Frequently plays a man who suffered a tragedy, had lost something or had a  crisis of confidence or conscience.",Frequently plays likeable wisecracking heroes with a moral centre,"Headlines action-adventures, often playing a policeman, hitman or someone in the military",Often plays men who get caught up in situations far beyond their control,Sardonic one-liners,Shaven head,"Distinctive, gravelly voice",Smirky grin.,Known for playing cynical anti-heroes with unhappy personal lives,0110912,1606378,0217869,0377917,0112864,Pulp Fiction,A Good Day to Die Hard,Unbreakable,The Fifth Element,Die Hard: With a Vengeance
67f49ce067b22e22d65ccf4e,134,Keanu Reeves,"https://m.media-amazon.com/images/M/MV5BMjA0MjMzMTE5OF5BMl5BanBnXkFtZTcwMzQ2ODE3Mw@@._V1_UY98_CR8,0,67,98_AL_.jpg",1955-03-19,Intense contemplative gaze,Deep husky voice,Known for playing stoic reserved characters,,,,,,,0133093,0234215,0111257,,,The Matrix,The Matrix Reloaded,Speed,,
67f49cea67b22e22d65ccf4f,75,Sandra Bullock,"https://m.media-amazon.com/images/M/MV5BMTI5NDY5NjU3NF5BMl5BanBnXkFtZTcwMzQ0MTMyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",1964-07-26,,,,,,,,,,2737304,0120179,0111257,0212346,,Bird Box,Speed 2: Cruise Control,Speed,Miss Congeniality,
67f49cf667b22e22d65ccf50,155,Quentin Tarantino,"https://m.media-amazon.com/images/M/MV5BMTgyMjI3ODA3Nl5BMl5BanBnXkFtZTcwNzY2MDYxOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1963-03-27,"Lead characters usually drive General Motors vehicles, particularly Chevrolet and Cadillac, such as Jules 1974 Nova and Vincents 1960s Malibu.","Briefcases and suitcases play an important role in Pulp Fiction (1994), Reservoir Dogs (1992), Jackie Brown (1997), True Romance (1993) and Kill Bill: Vol. 2 (2004).",Makes references to cult movies and television,"Frequently works with Harvey Keitel, Tim Roth, Michael Madsen, Uma Thurman, Michael Bowen, Samuel L. Jackson, Michael Parks and Christoph Waltz.",His films usually have a shot from inside an automobile trunk,"He always has a Dutch element in his films: The opening tune, Little Green Bag, in Reservoir Dogs (1992) was performed by George Baker Selection and written by Jan Gerbrand Visser and Benjamino Bouwens who are all Dutch. The character Freddy Newandyke, played by Tim Roth is a direct translation to a typical Dutch last name, Nieuwendijk. The code name of Tim Roth is Mr. Orange, the royal color of Holland and the last name of the royal family. The Amsterdam conversation in Pulp Fiction (1994), Vincent Vega smokes from a Dutch tobacco shag (Drum), the mentioning of Rutger Hauer in Jackie Brown (1997), the brides name is Beatrix, the name of the Royal Dutch Queen.","[The Mexican Standoff] All his movies (including True Romance (1993), which he only wrote and did not direct) feature a scene in which three or more characters are pointing guns at each other at the same time.","Often uses an unconventional storytelling device in his films, such as retrospect (Reservoir Dogs (1992)), non-linear (Pulp Fiction (1994)), or ""chapter"" format (Kill Bill: Vol. 1 (2003)).","His films will often include one long, unbroken take where a character is  followed around somewhere.",0378194,0110912,0116367,0119396,,Kill Bill: Vol. 2,Speed 2: Cruise Control,From Dusk Till Dawn,Jackie Brown,
